species,n_reg,cx,cy,elongacion,max_dist_m,clase_id,clase_lbl,radio_km,radio_m,flag_elongada
Alchornea grandiflora,28,742239.9416490613,9563938.259756988,1.5131255021717132,71851.5134355985,4,<= 100 km,100,100000,FALSE
Alchornea grandis,10,752108.9687205225,9569388.01087665,1.147279323644083,48958.16633992184,4,<= 100 km,100,100000,FALSE
Alchornea latifolia,18,730599.680031948,9543905.876780665,1.5858876887287237,55542.641355672604,4,<= 100 km,100,100000,FALSE
Alchornea lojaensis,12,748252.067240264,9578511.458561387,1.6203465505714219,50846.759858814716,4,<= 100 km,100,100000,FALSE
Alchornea pearcei,14,719315.5304211298,9560652.155730404,1.3359136946802717,79645.78240550403,4,<= 100 km,100,100000,FALSE
Alchornea triplinervia,31,747612.2971972364,9557598.861825159,1.5896040479343694,71391.11326034987,4,<= 100 km,100,100000,FALSE
Alchornea websteri,9,764488.5845832132,9573262.19274632,1.0478174599978802,52460.66805274469,4,<= 100 km,100,100000,FALSE
Alchorneopsis floribunda,5,721954.9256745902,9544408.838530986,3.876366318828291,55605.394395520234,4,<= 100 km,100,100000,FALSE
Allobates fratisenescus,8,759963.3304086161,9527370.829391094,1.3951779593600917,23537.49617860034,4,<= 100 km,100,100000,FALSE
Allobates insperatus,5,761271.5369875417,9575718.307495533,1.8251090166267439,41336.99833183177,4,<= 100 km,100,100000,FALSE
Allobates kingsburyi,39,763011.0498070805,9582347.06202997,1.6320480752441908,53426.37259289298,4,<= 100 km,100,100000,FALSE
Alloplectus hispidus,13,703792.2823204908,9541141.143881403,8.707235667855564,37950.598513127436,4,<= 100 km,100,100000,TRUE
Alnus acuminata,35,703067.4245522814,9546053.37625416,4.514239696791779,58337.999465399196,4,<= 100 km,100,100000,TRUE
Alonsoa meridionalis,30,702743.8771355138,9554533.193289462,1.2880374023593555,13706.847229568273,4,<= 100 km,100,100000,FALSE
Alopoglossus atriventris,10,763748.3323161096,9543962.335355291,2.457932451276643,91770.09609793955,4,<= 100 km,100,100000,FALSE
Alopoglossus buckleyi,36,754211.1096961166,9545309.897614842,2.038766518094715,92177.41447794957,4,<= 100 km,100,100000,FALSE
Alsophila engelii,5,708358.4484490635,9516467.537416615,9.971421586689727,44711.32568578784,4,<= 100 km,100,100000,TRUE
Alsophila erinacea,10,724161.4016347408,9524829.698639484,1.2680360603207115,38265.95365705679,4,<= 100 km,100,100000,FALSE
Alternanthera porrigens,32,703882.513912058,9545720.547869712,1.069988286074332,71998.35176103134,4,<= 100 km,100,100000,FALSE
Alzatea verticillata,37,741535.8959094243,9544519.715251185,1.922903452657215,96911.05905314877,4,<= 100 km,100,100000,FALSE
Amaranthus hybridus,9,713758.233274706,9560342.808375781,1.073446316957611,69008.0985010378,4,<= 100 km,100,100000,FALSE
Amarynthis meneria,8,745550.3603485957,9556126.760622619,1.5864887013007432,56342.895982621594,4,<= 100 km,100,100000,FALSE
Amastus NA,6,719164.8196001708,9552782.110421896,1.2800668465829883,10636.608403357968,4,<= 100 km,100,100000,FALSE
Amastus aconia,12,709599.9037267972,9531503.889517345,2.679853108258289,46790.45808439398,4,<= 100 km,100,100000,FALSE
Amaurolimnas concolor,9,749049.2023923914,9515877.570894014,1.115348913879662,59215.24357402331,4,<= 100 km,100,100000,FALSE
Amauropelta aspidioides,10,758048.6195106902,9542758.429158432,1.509197903111784,73143.08201701533,4,<= 100 km,100,100000,FALSE
Amauropelta balbisii,6,730655.8021903795,9499652.756230999,2.459231600623616,107885.99042890866,4,<= 100 km,100,100000,FALSE
Amauropelta euchlora,7,742648.8109500599,9539652.658256296,1.527190440926241,72028.10550496426,4,<= 100 km,100,100000,FALSE
Amauropelta funckii,12,768470.6048281775,9585939.740912592,1.2741068509480606,64265.946199300575,4,<= 100 km,100,100000,FALSE
Amauropelta linkiana,16,737670.1561525286,9550743.076906085,1.218761492522026,72576.35484712318,4,<= 100 km,100,100000,FALSE
Amauropelta oligocarpa,6,722438.4588766345,9549429.197587477,4.829018726372899,23701.62729375951,4,<= 100 km,100,100000,TRUE
Amauropelta opposita,15,765404.5618250509,9581435.74107281,1.5267915391360358,52065.06094773976,4,<= 100 km,100,100000,FALSE
