species,n_reg,cx,cy,elongacion,max_dist_m,clase_id,clase_lbl,radio_km,radio_m,flag_elongada
Pholidobolus macbrydei,5,701530.3598886213,9537171.37104404,4.503307680800894,72599.00826532535,4,<= 100 km,100,100000,TRUE
Pilosium chlorophyllum,5,763010.0009897491,9562128.040134761,9.809721659823465,32283.75673387987,4,<= 100 km,100,100000,TRUE
Plagiochila aerea,5,711605.8316100707,9550261.862365134,4.689716590026769,38874.70479173527,4,<= 100 km,100,100000,TRUE
Pleurothallis alveolata,5,727288.6723431962,9526422.339465775,6.269533874487638,78488.05566294242,4,<= 100 km,100,100000,TRUE
Pourouma montana,5,725245.6085340877,9509993.211597487,6.153902974543708,62364.92391851577,4,<= 100 km,100,100000,TRUE
Prescottia lojana,5,708855.918371993,9542962.281484667,8.027654867198647,61398.303103063685,4,<= 100 km,100,100000,TRUE
Pristimantis nanus,5,790798.5843148521,9610678.008321172,29.650397454709633,1525.2193869313837,4,<= 100 km,100,100000,TRUE
Psiguria triphylla,5,713669.6660785466,9515467.01242293,5.485898730233952,84188.42605518905,4,<= 100 km,100,100000,TRUE
Psychotria ostreophora,5,764983.4663026932,9539889.287257783,4.060680318516507,62692.261334257506,4,<= 100 km,100,100000,TRUE
Rhauculus lojanus,5,702370.064362646,9539665.310040059,13.33055624293324,54016.51156945388,4,<= 100 km,100,100000,TRUE
Rhionaeschna biliosa,5,705457.9684923942,9535647.554209854,11.198110186008655,32888.24221229138,4,<= 100 km,100,100000,TRUE
Rostkovia magellanica,5,687857.8220110083,9491709.44174849,6.812096991403377,30407.823343535238,4,<= 100 km,100,100000,TRUE
Rudgea spinigemma,5,759258.7142823178,9510487.820565963,35.22435171940616,10148.627757876904,4,<= 100 km,100,100000,TRUE
Ryania speciosa,5,769246.483646844,9576340.493939724,4.133927701404007,54369.31156552198,4,<= 100 km,100,100000,TRUE
Sapium stylare,5,730519.8509299479,9510102.83346543,14.460332378676032,62101.409410794404,4,<= 100 km,100,100000,TRUE
Scaphyglottis aurea,5,707571.1332212115,9501048.49887028,5.7600456404191585,5657.9607218358105,4,<= 100 km,100,100000,TRUE
Sciodaphyllum acuminatum,5,704857.6802435772,9542081.45444044,5.03755917266846,34329.24018706765,4,<= 100 km,100,100000,TRUE
Selaginella acanthostachys,5,707561.8705411104,9526869.397198167,30.509438703437105,32612.72562477233,4,<= 100 km,100,100000,TRUE
Senecio iscoensis,5,702352.671618366,9540235.240357986,4.298584565209545,36470.1752270581,4,<= 100 km,100,100000,TRUE
Serpocaulon subandinum,5,705769.1646394811,9541906.564850226,5.920264492183427,34064.167203826815,4,<= 100 km,100,100000,TRUE
Solanum brevifolium,5,706419.6700411515,9545783.60975299,4.591462386499432,28841.185231688905,4,<= 100 km,100,100000,TRUE
Solanum maturecalvans,5,709096.6550176707,9551845.342767194,4.9785588848622355,38352.4035335708,4,<= 100 km,100,100000,TRUE
Solanum nigrescens,5,711585.5940116645,9528312.156317635,6.456221180335905,84644.79079815841,4,<= 100 km,100,100000,TRUE
Solanum stramonifolium,5,764602.7901161689,9557567.239085078,5.250400088326409,62990.57878551059,4,<= 100 km,100,100000,TRUE
Sphagnum sparsum,5,706825.2720631221,9532577.190652845,9.973422022296848,19587.524289287583,4,<= 100 km,100,100000,TRUE
Stelis fabulosa,5,703837.1966178092,9552822.79451791,5.195324753951672,6842.943416098142,4,<= 100 km,100,100000,TRUE
Sterculia rebeccae,5,760736.7934184979,9536199.726509603,4.681299848585639,57449.87985267582,4,<= 100 km,100,100000,TRUE
Styrax loxensis,5,703474.8993244368,9549165.068502083,9.203089494163985,2917.9548144024075,4,<= 100 km,100,100000,TRUE
Symplocos apiciflora,5,703462.8247154742,9547774.084663609,9.146303834590903,3031.5982784952585,4,<= 100 km,100,100000,TRUE
Toxomerus nasutus,5,701181.3870982849,9553307.136289597,4.304687898031659,1542.7031838017454,4,<= 100 km,100,100000,TRUE
Urera simplex,5,760267.9406689083,9519936.297274455,9.39314827823544,17566.67266752649,4,<= 100 km,100,100000,TRUE
Valeriana aretioides,5,704510.0937719875,9564194.532827977,4.011658812448481,73674.99094228237,4,<= 100 km,100,100000,TRUE
Vriesea cylindrica,5,706677.6385686981,9535464.55806519,6.9239615449219585,81135.20496605785,4,<= 100 km,100,100000,TRUE
Weinmannia stenocarpa,5,704452.2875926795,9529011.881812945,8.795099350365764,25548.48011420055,4,<= 100 km,100,100000,TRUE
Xanthosoma nangaritzense,5,763531.1407528085,9557013.45187075,6.349263751714033,40070.18641364515,4,<= 100 km,100,100000,TRUE
Adiantum poiretii,6,701923.267079273,9546220.376893438,4.725853887155792,29141.683361514304,4,<= 100 km,100,100000,TRUE
Alansmia laxa,6,704796.4737739596,9551529.586293403,4.410179326875126,10178.426389731681,4,<= 100 km,100,100000,TRUE
Albizia niopoides,6,719035.2411350496,9448091.980213515,8.768197720057508,13660.03201986192,4,<= 100 km,100,100000,TRUE
Alchisme bos,6,699769.4500976154,9553460.660799112,9.203685055708483,3023.9074764246575,4,<= 100 km,100,100000,TRUE
Alchisme grossa,6,700557.6861883342,9549323.718751546,5.824974334554635,21625.47169275963,4,<= 100 km,100,100000,TRUE
Amauropelta oligocarpa,6,722438.4588766345,9549429.197587477,4.829018726372899,23701.62729375951,4,<= 100 km,100,100000,TRUE
Aniba coto,6,725401.3095509134,9506185.902892392,6.6871334306765275,60863.01254477806,4,<= 100 km,100,100000,TRUE
Anthurium gribii,6,710919.6185897067,9532981.356952254,7.757995942076357,30247.11250465075,4,<= 100 km,100,100000,TRUE
Anthurium nangaritense,6,759342.8680066877,9526682.083801685,10.623627374567326,6064.48828969748,4,<= 100 km,100,100000,TRUE
Aulonemia patula,6,700877.0867868986,9548072.909746975,6.034076774328471,27296.624482707164,4,<= 100 km,100,100000,TRUE
Austroeupatorium inulifolium,6,703185.3039055285,9541345.555796314,11.468186851055046,33467.65334476071,4,<= 100 km,100,100000,TRUE
Begonia maynensis,6,761785.1114567019,9531990.643488418,4.903476886774837,15310.783447308218,4,<= 100 km,100,100000,TRUE
Begonia rossmanniae,6,761964.5277997818,9529562.908272438,7.719136193245069,23155.370284398097,4,<= 100 km,100,100000,TRUE
Besleria quadrangulata,6,726598.366731204,9536857.171110576,31.651871406073163,47455.87629660752,4,<= 100 km,100,100000,TRUE
Carex bonplandii,6,704999.5505009699,9525580.984007884,13.456882262158171,40317.76255601528,4,<= 100 km,100,100000,TRUE
Centropogon jeppesenii,6,744608.1243797558,9548684.49295739,16.33627613773065,2040.9018327631252,4,<= 100 km,100,100000,TRUE
Ceroxylon echinulatum,6,711431.6929046172,9516110.39611663,4.327020999211179,45815.22858385688,4,<= 100 km,100,100000,TRUE
Chusquea aperta,6,707484.787645058,9505297.365526935,6.7776368151161535,15864.651683576352,4,<= 100 km,100,100000,TRUE
Cinnagrostis viridiflavescens,6,696173.2864291628,9566902.1202709,265.836550142906,7347.651273895507,4,<= 100 km,100,100000,TRUE
Clibadium surinamense,6,723180.3160933276,9515731.902623365,7.757578233030428,70189.61560735233,4,<= 100 km,100,100000,TRUE
